Порядковый номер,Район,Адрес,Количество видеокамер
1.1,Адмиралтейский район,"10-я Красноармейская улица, дом 23",1
1.2,Адмиралтейский район,"10-я Красноармейская улица, дом 3",7
1.3,Адмиралтейский район,"10-я Красноармейская улица, дом 8",3
1.4,Адмиралтейский район,"11-я Красноармейская улица, дом 5/13",3
1.5,Адмиралтейский район,"11-я Красноармейская улица, дом 9",3
1.6,Адмиралтейский район,"12-я Красноармейская улица, дом 1/21",3
1.7,Адмиралтейский район,"12-я Красноармейская улица, дом 13",1
1.8,Адмиралтейский район,"13-я Красноармейская улица, дом 14",3
1.9,Адмиралтейский район,"13-я Красноармейская улица, дом 24",4
1.10,Адмиралтейский район,"1-я Красноармейская улица, дом 1/21, литера Д",3
1.11,Адмиралтейский район,"1-я Красноармейская улица, дом 12",11
1.12,Адмиралтейский район,"1-я Красноармейская улица, дом 15",2
1.13,Адмиралтейский район,"1-я Красноармейская улица, дом 2",5
1.14,Адмиралтейский район,"1-я Красноармейская улица, дом 24",3
1.15,Адмиралтейский район,"1-я Красноармейская улица, дом 3-5-7-9",3
1.16,Адмиралтейский район,"1-я Красноармейская улица, дом 4",1
1.17,Адмиралтейский район,"1-я Красноармейская улица, дом 6",1
1.18,Адмиралтейский район,"1-я Красноармейская улица, дом 8-10",2
1.19,Адмиралтейский район,"2-я Красноармейская улица, дом 19",3
1.20,Адмиралтейский район,"2-я Красноармейская улица, дом 2/27",2
1.21,Адмиралтейский район,"2-я Красноармейская улица, дом 4",1
1.22,Адмиралтейский район,"3-я Красноармейская улица, дом 14",2
1.23,Адмиралтейский район,"3-я Красноармейская улица, дом 17/20",9
1.24,Адмиралтейский район,"4-я Красноармейская улица, дом 18б",4
1.25,Адмиралтейский район,"4-я Красноармейская улица, дом 2/35",8
1.26,Адмиралтейский район,"4-я Красноармейская улица, дом 20/8",1
1.27,Адмиралтейский район,"4-я Красноармейская улица, дом 3",2
1.28,Адмиралтейский район,"5-я Красноармейская улица, дом 16",3
1.29,Адмиралтейский район,"5-я Красноармейская улица, дом 17",1
1.30,Адмиралтейский район,"5-я Красноармейская улица, дом 3",4
1.31,Адмиралтейский район,"5-я Красноармейская улица, дом 7",2
1.32,Адмиралтейский район,"6-я Красноармейская улица, дом 14",3
1.33,Адмиралтейский район,"6-я Красноармейская улица, дом 18",2
1.34,Адмиралтейский район,"6-я Красноармейская улица, дом 22",9
1.35,Адмиралтейский район,"6-я Красноармейская улица, дом 2-4",1
1.36,Адмиралтейский район,"6-я Красноармейская улица, дом 2-4, литера В",2
1.37,Адмиралтейский район,"6-я Красноармейская улица, дом 27",4
1.38,Адмиралтейский район,"7-я Красноармейская улица, дом 13",3
1.39,Адмиралтейский район,"7-я Красноармейская улица, дом 15",3
1.40,Адмиралтейский район,"7-я Красноармейская улица, дом 19",6
1.41,Адмиралтейский район,"7-я Красноармейская улица, дом 20",2
1.42,Адмиралтейский район,"7-я Красноармейская улица, дом 22-24",7
1.43,Адмиралтейский район,"8-я Красноармейская улица, дом 13",3
1.44,Адмиралтейский район,"8-я Красноармейская улица, дом 15-17",2
1.45,Адмиралтейский район,"9-я Красноармейская улица, дом 10б",3
1.46,Адмиралтейский район,"9-я Красноармейская улица, дом 4-6",14
1.47,Адмиралтейский район,"9-я Красноармейская улица, дом 9",17
1.48,Адмиралтейский район,"Адмиралтейская набережная, дом 10",3
1.49,Адмиралтейский район,"Адмиралтейская набережная, дом 12-14",6
1.50,Адмиралтейский район,"Адмиралтейская набережная, дом 4",13
1.51,Адмиралтейский район,"Адмиралтейская набережная, дом 6",3
1.52,Адмиралтейский район,"Адмиралтейский проезд, дом 1",4
1.53,Адмиралтейский район,"Адмиралтейский проезд, дом 1,",1
1.54,Адмиралтейский район,"Адмиралтейского канала набережная, дом 7",2
1.55,Адмиралтейский район,"Адмиралтейского канала набережная, дом 9",9
1.56,Адмиралтейский район,"Английская набережная, дом 2",2
1.57,Адмиралтейский район,"Английская набережная, дом 22",2
1.58,Адмиралтейский район,"Английская набережная, дом 44",1
1.59,Адмиралтейский район,"Английский проспект, дом 17-19",6
1.60,Адмиралтейский район,"Английский проспект, дом 20",5
1.61,Адмиралтейский район,"Английский проспект, дом 25",5
1.62,Адмиралтейский район,"Английский проспект, дом 26",4
1.63,Адмиралтейский район,"Английский проспект, дом 31",5
1.64,Адмиралтейский район,"Английский проспект, дом 38",4
1.65,Адмиралтейский район,"Английский проспект, дом 40",8
